ccdc_id,smi,rename_id,Spin-state behaviour,Spin-state of crystal structure
XENBEX07,c1cc-2[n+]3c(c1)-n4ccc[n+]4[Fe]356([n+]7n2ccc7)[n+]8cccn8-c9[n+]5c(ccc9)-n1[n+]6ccc1,comp_5,spin-crossover,low-spin
ADIYOB,c1cc-2[n+]3c(c1)-n4ccc[n+]4[Fe]356([n+]7n2ccc7)[n+]8cccn8-c9[n+]5c(ccc9)-n1[n+]6ccc1,comp_5,spin-crossover,low-spin
LUXMOH,c1cc-2[n+]3c(c1)-n4ccc[n+]4[Fe]356([n+]7n2ccc7)[n+]8cccn8-c9[n+]5c(ccc9)-n1[n+]6ccc1,comp_5,spin-crossover,high-spin
LUXMOH01,c1cc-2[n+]3c(c1)-n4ccc[n+]4[Fe]356([n+]7n2ccc7)[n+]8cccn8-c9[n+]5c(ccc9)-n1[n+]6ccc1,comp_5,spin-crossover,low-spin
ECELII,Cc1ccn-2[n+]1[Fe]345([n+]6c(ccn6-c7[n+]3c2ccc7)C)[n+]8c(ccn8-c9[n+]4c(ccc9)-n1[n+]5c(cc1)C)C,comp_6,high-spin,high-spin
AFANEB02,Cc1ccn-2[n+]1[Fe]345([n+]6c(ccn6-c7[n+]3c2ccc7)C)[n+]8c(ccn8-c9[n+]4c(ccc9)-n1[n+]5c(cc1)C)C,comp_6,spin-crossover,high-spin
AFANEB,Cc1ccn-2[n+]1[Fe]345([n+]6c(ccn6-c7[n+]3c2ccc7)C)[n+]8c(ccn8-c9[n+]4c(ccc9)-n1[n+]5c(cc1)C)C,comp_6,spin-crossover,low-spin
AFANIF02,Cc1ccn-2[n+]1[Fe]345([n+]6c(ccn6-c7[n+]3c2ccc7)C)[n+]8c(ccn8-c9[n+]4c(ccc9)-n1[n+]5c(cc1)C)C,comp_6,spin-crossover,high-spin
AFOYUS02,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=[Se])N=C=[Se],comp_7,spin-crossover,high-spin
AFOYUS,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=[Se])N=C=[Se],comp_7,spin-crossover,low-spin
AFUJOD01,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=[Se])N=C=[Se],comp_7,spin-crossover,high-spin
AFOYOM,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=[Se])N=C=[Se],comp_7,spin-crossover,low-spin
AJAXEP,c1cc[n+]2c(c1)C(=C3SC(=C(S3)SCCC#N)SCCC#N)c4cccc[n+]4[Fe]25([n+]6ccccc6C(=C7SC(=C(S7)SCCC#N)SCCC#N)c8[n+]5cccc8)(N=C=S)N=C=S,comp_8,spin-crossover,high-spin
AKEMUY,CC(C)[N+]1=Cc2cccc[n+]2[Fe]13([n+]4ccccc4C=[N+]3C(C)C)(N=C=[Se])N=C=[Se],comp_9,spin-crossover,low-spin
AKENAF,CC(C)[N+]1=Cc2cccc[n+]2[Fe]13([n+]4ccccc4C=[N+]3C(C)C)(N=C=S)N=C=S,comp_10,spin-crossover,high-spin
AKENAF01,CC(C)[N+]1=Cc2cccc[n+]2[Fe]13([n+]4ccccc4C=[N+]3C(C)C)(N=C=S)N=C=S,comp_10,spin-crossover,low-spin
APAFEH,c1cc[n+]2c(c1)C[NH2+][Fe]234([NH2+]Cc5[n+]3cccc5)[NH2+]Cc6[n+]4cccc6,comp_11,low-spin,low-spin
APAFEM01,c1cc[n+]2c(c1)C[NH2+][Fe]234([NH2+]Cc5[n+]3cccc5)[NH2+]Cc6[n+]4cccc6,comp_11,spin-crossover,high-spin
APAFEM05,c1cc[n+]2c(c1)C[NH2+][Fe]234([NH2+]Cc5[n+]3cccc5)[NH2+]Cc6[n+]4cccc6,comp_11,spin-crossover,low-spin
FEPICC36,c1cc[n+]2c(c1)C[NH2+][Fe]234([NH2+]Cc5[n+]3cccc5)[NH2+]Cc6[n+]4cccc6,comp_11,spin-crossover,high-spin
FEPICC37,c1cc[n+]2c(c1)C[NH2+][Fe]234([NH2+]Cc5[n+]3cccc5)[NH2+]Cc6[n+]4cccc6,comp_11,spin-crossover,low-spin
IBIXEX,c1cc[n+]2c(c1)C[NH2+][Fe]234([NH2+]Cc5[n+]3cccc5)[NH2+]Cc6[n+]4cccc6,comp_11,spin-crossover,high-spin
IBIWUM,c1cc[n+]2c(c1)C[NH2+][Fe]234([NH2+]Cc5[n+]3cccc5)[NH2+]Cc6[n+]4cccc6,comp_11,high-spin,high-spin
IBIXAT10,c1cc[n+]2c(c1)C[NH2+][Fe]234([NH2+]Cc5[n+]3cccc5)[NH2+]Cc6[n+]4cccc6,comp_11,spin-crossover,high-spin
IBIXAT14,c1cc[n+]2c(c1)C[NH2+][Fe]234([NH2+]Cc5[n+]3cccc5)[NH2+]Cc6[n+]4cccc6,comp_11,spin-crossover,low-spin
IBIXIB,c1cc[n+]2c(c1)C[NH2+][Fe]234([NH2+]Cc5[n+]3cccc5)[NH2+]Cc6[n+]4cccc6,comp_11,high-spin,high-spin
DIXLUR10,c1cc[n+]2c(c1)C[NH2+][Fe]234([NH2+]Cc5[n+]3cccc5)[NH2+]Cc6[n+]4cccc6,comp_11,spin-crossover,high-spin
PUTGOC01,c1cc[n+]2c(c1)C[NH2+][Fe]234([NH2+]Cc5[n+]3cccc5)[NH2+]Cc6[n+]4cccc6,comp_11,spin-crossover,high-spin
PUTGOC,c1cc[n+]2c(c1)C[NH2+][Fe]234([NH2+]Cc5[n+]3cccc5)[NH2+]Cc6[n+]4cccc6,comp_11,spin-crossover,low-spin
PUTHAP01,c1cc[n+]2c(c1)C[NH2+][Fe]234([NH2+]Cc5[n+]3cccc5)[NH2+]Cc6[n+]4cccc6,comp_11,spin-crossover,high-spin
PUTHAP,c1cc[n+]2c(c1)C[NH2+][Fe]234([NH2+]Cc5[n+]3cccc5)[NH2+]Cc6[n+]4cccc6,comp_11,spin-crossover,low-spin
PUTHIX01,c1cc[n+]2c(c1)C[NH2+][Fe]234([NH2+]Cc5[n+]3cccc5)[NH2+]Cc6[n+]4cccc6,comp_11,spin-crossover,high-spin
PUTHIX,c1cc[n+]2c(c1)C[NH2+][Fe]234([NH2+]Cc5[n+]3cccc5)[NH2+]Cc6[n+]4cccc6,comp_11,spin-crossover,low-spin
ATAVAU,c1cc2c3c(c4ccc[n+]5c4c2[n+](c1)[Fe]56([n+]7cccc8c7c9[n+]6cccc9c1c8[nH]c(n1)c1ccsc1)(N=C=S)N=C=S)nc([nH]3)c1ccsc1,comp_12,spin-crossover,low-spin
ATAVEY01,c1cc2c3c(c4ccc[n+]5c4c2[n+](c1)[Fe]56([n+]7cccc8c7c9[n+]6cccc9c1c8[nH]c(n1)c1cccs1)(N=C=S)N=C=S)nc([nH]3)c1cccs1,comp_13,spin-crossover,high-spin
ATAVEY,c1cc2c3c(c4ccc[n+]5c4c2[n+](c1)[Fe]56([n+]7cccc8c7c9[n+]6cccc9c1c8[nH]c(n1)c1cccs1)(N=C=S)N=C=S)nc([nH]3)c1cccs1,comp_13,spin-crossover,low-spin
DUSMAH,CC1(COC2=[N+]1[Fe]345([n+]6c2cccc6C7=[N+]3C(CO7)(C)C)[n+]8c(cccc8C9=[N+]4C(CO9)(C)C)C1=[N+]5C(CO1)(C)C)C,comp_14,spin-crossover,high-spin
DUSMAH03,CC1(COC2=[N+]1[Fe]345([n+]6c2cccc6C7=[N+]3C(CO7)(C)C)[n+]8c(cccc8C9=[N+]4C(CO9)(C)C)C1=[N+]5C(CO1)(C)C)C,comp_14,spin-crossover,low-spin
DUSMUB,CC1(COC2=[N+]1[Fe]345([n+]6c2cccc6C7=[N+]3C(CO7)(C)C)[n+]8c(cccc8C9=[N+]4C(CO9)(C)C)C1=[N+]5C(CO1)(C)C)C,comp_14,high-spin,high-spin
AWUKEK01,CC1(COC2=[N+]1[Fe]345([n+]6c2cccc6C7=[N+]3C(CO7)(C)C)[n+]8c(cccc8C9=[N+]4C(CO9)(C)C)C1=[N+]5C(CO1)(C)C)C,comp_14,high-spin,high-spin
IZADEU,CC1(COC2=[N+]1[Fe]345([n+]6c2cccc6C7=[N+]3C(CO7)(C)C)[n+]8c(cccc8C9=[N+]4C(CO9)(C)C)C1=[N+]5C(CO1)(C)C)C,comp_14,spin-crossover,high-spin
IZADEU01,CC1(COC2=[N+]1[Fe]345([n+]6c2cccc6C7=[N+]3C(CO7)(C)C)[n+]8c(cccc8C9=[N+]4C(CO9)(C)C)C1=[N+]5C(CO1)(C)C)C,comp_14,spin-crossover,mixture
IZADOE,CC1(COC2=[N+]1[Fe]345([n+]6c2cccc6C7=[N+]3C(CO7)(C)C)[n+]8c(cccc8C9=[N+]4C(CO9)(C)C)C1=[N+]5C(CO1)(C)C)C,comp_14,high-spin,high-spin
IZADUK01,CC1(COC2=[N+]1[Fe]345([n+]6c2cccc6C7=[N+]3C(CO7)(C)C)[n+]8c(cccc8C9=[N+]4C(CO9)(C)C)C1=[N+]5C(CO1)(C)C)C,comp_14,spin-crossover,high-spin
IZADUK,CC1(COC2=[N+]1[Fe]345([n+]6c2cccc6C7=[N+]3C(CO7)(C)C)[n+]8c(cccc8C9=[N+]4C(CO9)(C)C)C1=[N+]5C(CO1)(C)C)C,comp_14,spin-crossover,low-spin
BAXXAB01,c1cc[n+]2c(c1)C[N@@H+]3[Fe]24([n+]5ccccc5C[N@H+]4CC3)(N=C=S)N=C=S,comp_15,spin-crossover,high-spin
BAYZEH01,c1cc[n+]2c(c1)C(=C3SC=CS3)c4cccc[n+]4[Fe]25([n+]6ccccc6C(=C7SC=CS7)c8[n+]5cccc8)(N=C=S)N=C=S,comp_16,spin-crossover,high-spin
BAYZEH,c1cc[n+]2c(c1)C(=C3SC=CS3)c4cccc[n+]4[Fe]25([n+]6ccccc6C(=C7SC=CS7)c8[n+]5cccc8)(N=C=S)N=C=S,comp_16,spin-crossover,low-spin
BOCYOK02,Cn1cc[n+]2c1C(=O)c3n(cc[n+]3[Fe]24([n+]5ccn(c5C(=O)c6[n+]4ccn6C)C)(N=C=S)N=C=S)C,comp_17,spin-crossover,high-spin
BOCYOK,Cn1cc[n+]2c1C(=O)c3n(cc[n+]3[Fe]24([n+]5ccn(c5C(=O)c6[n+]4ccn6C)C)(N=C=S)N=C=S)C,comp_17,spin-crossover,low-spin
BOCZEB03,Cn1cc[n+]2c1C(=O)c3n(cc[n+]3[Fe]24([n+]5ccn(c5C(=O)c6[n+]4ccn6C)C)(N=C=[Se])N=C=[Se])C,comp_18,spin-crossover,high-spin
BOCZEB,Cn1cc[n+]2c1C(=O)c3n(cc[n+]3[Fe]24([n+]5ccn(c5C(=O)c6[n+]4ccn6C)C)(N=C=[Se])N=C=[Se])C,comp_18,spin-crossover,low-spin
BUNSIN,c1cc[n+]2c(c1)C[N@+]34[Fe]2567[n+]8ccccc8C[N@@+]5(CCC[N@@H+]6CC3)CC[N@H+]7CCC4,comp_19,spin-crossover,high-spin
BUNSIN01,c1cc[n+]2c(c1)C[N@+]34[Fe]2567[n+]8ccccc8C[N@@+]5(CCC[N@@H+]6CC3)CC[N@H+]7CCC4,comp_19,spin-crossover,low-spin
ETUHIM,c1cc[n+]2c(c1)C[N@+]34[Fe]2567[n+]8ccccc8C[N@@+]5(CCC[N@@H+]6CC3)CC[N@H+]7CCC4,comp_19,spin-crossover,high-spin
ETUHIM02,c1cc[n+]2c(c1)C[N@+]34[Fe]2567[n+]8ccccc8C[N@@+]5(CCC[N@@H+]6CC3)CC[N@H+]7CCC4,comp_19,spin-crossover,low-spin
ETUJEK,c1cc[n+]2c(c1)C[N@+]34[Fe]2567[n+]8ccccc8C[N@@+]5(CCC[N@@H+]6CC3)CC[N@H+]7CCC4,comp_19,spin-crossover,high-spin
CATWUS,c1cc2c-3[n+](c1)[Fe]45([n+]6c3c(ccc6)C2=O)([n+]7cccc8c7-c9[n+]4cccc9C8=O)[n+]1cccc2c1-c1[n+]5cccc1C2=O,comp_20,high-spin,high-spin
CECVUD,c1ccc2c(c1)ccc3[n+]2[Fe]45([n+]6ccccc6C[N+]4(C3)Cc7[n+]5cccc7)(N=C=S)N=C=S,comp_21,high-spin,high-spin
CERDEJ01,[B-]12(n3ccc([n+]3[Fe]45([n+]6n1ccc6C)([n+]7n2ccc7C)[n+]8c(ccn8[B-](n9[n+]4c(cc9)C)(n1[n+]5c(cc1)C)c1ccccc1)C)C)c1ccccc1,comp_22,high-spin,high-spin
COLJAO,c1cc[n+]2c(c1)-c3csc4[n+]3[Fe]256([n+]7ccccc7-c8[n+]5c(sc8)Nc9[n+]6cccc9)[n+]1ccccc1N4,comp_23,high-spin,high-spin
COMQUR,c1ccc2c(c1)cccc2C#Cc3ccc(cc3)[N+]4=Cc5cccc[n+]5[Fe]46([n+]7ccccc7C=[N+]6c8ccc(cc8)C#Cc9cccc1c9cccc1)(N=C=S)N=C=S,comp_24,spin-crossover,high-spin
COMQUR01,c1ccc2c(c1)cccc2C#Cc3ccc(cc3)[N+]4=Cc5cccc[n+]5[Fe]46([n+]7ccccc7C=[N+]6c8ccc(cc8)C#Cc9cccc1c9cccc1)(N=C=S)N=C=S,comp_24,spin-crossover,low-spin
COMRAY,c1cn-2[n+](c1)[Fe]345([n+]6cccn6-c7[n+]3c2cc(c7)I)[n+]8cccn8-c9[n+]4c(cc(c9)I)-n1[n+]5ccc1,comp_25,spin-crossover,low-spin
COMREC,c1cn-2[n+](c1)[Fe]345([n+]6cccn6-c7[n+]3c2cc(c7)c8ccc(cc8)O)[n+]9cccn9-c1[n+]4c(cc(c1)c1ccc(cc1)O)-n1[n+]5ccc1,comp_26,spin-crossover,low-spin
DEDNOQ,c1cn-2[n+](c1)[Fe]345([n+]6cccn6-c7[n+]3c2cnc7)[n+]8cccn8-c9[n+]4c(cnc9)-n1[n+]5ccc1,comp_27,high-spin,high-spin
JAFCEZ,c1cn-2[n+](c1)[Fe]345([n+]6cccn6-c7[n+]3c2cnc7)[n+]8cccn8-c9[n+]4c(cnc9)-n1[n+]5ccc1,comp_27,spin-crossover,high-spin
JAFCEZ01,c1cn-2[n+](c1)[Fe]345([n+]6cccn6-c7[n+]3c2cnc7)[n+]8cccn8-c9[n+]4c(cnc9)-n1[n+]5ccc1,comp_27,spin-crossover,low-spin
EMIPIZ01,c1cn-2[n+](c1)[Fe]345([n+]6cccn6-c7[n+]3c2cnc7)[n+]8cccn8-c9[n+]4c(cnc9)-n1[n+]5ccc1,comp_27,spin-crossover,high-spin
DEVDUD,c1c-2[n+](cs1)[Fe]34([n+]5c2csc5)([n+]6cscc6-c7[n+]3csc7)[n+]8cscc8-c9[n+]4csc9,comp_28,spin-crossover,low-spin
DOMQED,c1ccc2c(c1)[nH]c-3[n+]2[Fe]456([n+]7cccc8c7c9[n+]4c3ccc9cc8)[n+]1cccc2c1c1[n+]5c(ccc1cc2)-c1[n+]6c2ccccc2[nH]1,comp_29,low-spin,low-spin
DOMQIH,c1ccc2c(c1)nc-3n2[Fe]456(n7c8ccccc8nc7-c9[n+]4c1c(ccc2c1[n+]5ccc2)cc9)[n+]1cccc2c1c1[n+]6c3ccc1cc2,comp_30,low-spin,low-spin
DOMQON,Cc1ccc2ccc3ccc-4[n+]5c3c2[n+]1[Fe]567([n+]8c(ccc9c8c1[n+]6c(ccc1cc9)-c1[n+]7c2ccccc2[nH]1)C)[n+]1c4[nH]c2c1cccc2,comp_31,high-spin,high-spin
DOMQUT02,Cc1ccc2ccc3ccc-4[n+]5c3c2[n+]1[Fe]567(n8c4nc9c8cccc9)n1c2ccccc2nc1-c1[n+]6c2c(ccc3c2[n+]7c(cc3)C)cc1,comp_32,spin-crossover,high-spin
DOMQUT01,Cc1ccc2ccc3ccc-4[n+]5c3c2[n+]1[Fe]567(n8c4nc9c8cccc9)n1c2ccccc2nc1-c1[n+]6c2c(ccc3c2[n+]7c(cc3)C)cc1,comp_32,spin-crossover,mixture
DOMQUT,Cc1ccc2ccc3ccc-4[n+]5c3c2[n+]1[Fe]567(n8c4nc9c8cccc9)n1c2ccccc2nc1-c1[n+]6c2c(ccc3c2[n+]7c(cc3)C)cc1,comp_32,spin-crossover,low-spin
DOQRAC,CC#[N+][Fe]12([N+]3(CC[N+]1(CC[N+]2(CC3)C)C)C)([N+]#CC)[N+]#CC,comp_33,spin-crossover,high-spin
DOQRAC01,CC#[N+][Fe]12([N+]3(CC[N+]1(CC[N+]2(CC3)C)C)C)([N+]#CC)[N+]#CC,comp_33,spin-crossover,low-spin
DUCFOW,c1cc[n+]2c(c1)C[N+]34[Fe]2567[n+]8ccccc8C[N+]5(CC3)CC[N+]6(CC4)Cc9[n+]7cccc9,comp_34,low-spin,low-spin
DUKJAW01,c1cc(cnc1)c2[nH]c3c4ccc[n+]5c4c6c(c3n2)ccc[n+]6[Fe]57([n+]8cccc9c8c1[n+]7cccc1c1c9[nH]c(n1)c1cccnc1)(N=C=S)N=C=S,comp_35,spin-crossover,high-spin
DUKJAW,c1cc(cnc1)c2[nH]c3c4ccc[n+]5c4c6c(c3n2)ccc[n+]6[Fe]57([n+]8cccc9c8c1[n+]7cccc1c1c9[nH]c(n1)c1cccnc1)(N=C=S)N=C=S,comp_35,spin-crossover,low-spin
DUKJIE,c1cc2c3c(c4ccc[n+]5c4c2[n+](c1)[Fe]56([n+]7cccc8c7c9[n+]6cccc9c1c8[nH]c(n1)c1ccncc1)(N=C=S)N=C=S)nc([nH]3)c1ccncc1,comp_36,high-spin,high-spin
DULBUK02,CC1(CSC2=[N+]1[Fe]345([n+]6c2cccc6C7=[N+]3C(CS7)(C)C)[n+]8c(cccc8C9=[N+]4C(CS9)(C)C)C1=[N+]5C(CS1)(C)C)C,comp_37,spin-crossover,high-spin
DULBUK,CC1(CSC2=[N+]1[Fe]345([n+]6c2cccc6C7=[N+]3C(CS7)(C)C)[n+]8c(cccc8C9=[N+]4C(CS9)(C)C)C1=[N+]5C(CS1)(C)C)C,comp_37,spin-crossover,low-spin
DULCIZ,CC1(CSC2=[N+]1[Fe]345([n+]6c2cccc6C7=[N+]3C(CS7)(C)C)[n+]8c(cccc8C9=[N+]4C(CS9)(C)C)C1=[N+]5C(CS1)(C)C)C,comp_37,spin-crossover,low-spin
DULCOF,CC1(CSC2=[N+]1[Fe]345([n+]6c2cccc6C7=[N+]3C(CS7)(C)C)[n+]8c(cccc8C9=[N+]4C(CS9)(C)C)C1=[N+]5C(CS1)(C)C)C,comp_37,spin-crossover,low-spin
DULDAS,c1cc2[n+]3c(c1)C4=[N+]([Fe]356([n+]7c(cccc7C8=[N+]5CCS8)C9=[N+]6CCS9)[N+]1=C2SCC1)CCS4,comp_38,low-spin,low-spin
DUWHIO03,c1cc[n+]2c(c1)-c3cccc4[n+]3[Fe]25([n+]6ccccc6-c7[n+]5c(ccc7)N4)(N=C=S)N=C=S,comp_39,spin-crossover,high-spin
DUWHIO,c1cc[n+]2c(c1)-c3cccc4[n+]3[Fe]25([n+]6ccccc6-c7[n+]5c(ccc7)N4)(N=C=S)N=C=S,comp_39,spin-crossover,low-spin
EBUQAU01,c1c2[n+](c[nH]1)[Fe]3456[n+]7c[nH]cc7C=[N+]3CCN(CC[N+]4=C2)CC[N+]5=Cc8[n+]6c[nH]c8,comp_40,spin-crossover,high-spin
EBUQAU,c1c2[n+](c[nH]1)[Fe]3456[n+]7c[nH]cc7C=[N+]3CCN(CC[N+]4=C2)CC[N+]5=Cc8[n+]6c[nH]c8,comp_40,spin-crossover,low-spin
EGIPOC,CCCCCCCCCCCCCCCCn1c2ccccc2[n+]3c1-c4cc(cc-5[n+]4[Fe]367([n+]8c5n(c9c8cccc9)CCCCCCCCCCCCCCCC)[n+]1c2ccccc2n(c1-c1[n+]6c(cc(c1)OCCCCCCCCCCCCCCCC)-c1[n+]7c2ccccc2n1CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCC,comp_41,spin-crossover,low-spin
ENUBAR,c1c[n+]2c([nH]1)C=[N+]3[Fe]2456[n+]7cc[nH]c7C=[N+]4CCN(CC3)CC[N+]5=Cc8[n+]6cc[nH]8,comp_42,spin-crossover,high-spin
ENUBAR02,c1c[n+]2c([nH]1)C=[N+]3[Fe]2456[n+]7cc[nH]c7C=[N+]4CCN(CC3)CC[N+]5=Cc8[n+]6cc[nH]8,comp_42,spin-crossover,low-spin
EYIJEB,c1c[n+]2c([nH]1)C=[N+]3[Fe]2456[n+]7cc[nH]c7C=[N+]4CCN(CC3)CC[N+]5=Cc8[n+]6cc[nH]8,comp_42,spin-crossover,low-spin
FADVUC,Cc1ccc(cc1)n2c(n[n+]3c2-c4cccc[n+]4[Fe]35([n+]6ccccc6-c7[n+]5nc(n7c8ccc(cc8)C)c9ccccn9)(N=C=S)N=C=S)c1ccccn1,comp_43,spin-crossover,high-spin
FEBPYC04,c1cc[n+]2c(c1)-c3cccc[n+]3[Fe]24([n+]5ccccc5-c6[n+]4cccc6)(N=C=S)N=C=S,comp_44,spin-crossover,high-spin
FEBPYC02,c1cc[n+]2c(c1)-c3cccc[n+]3[Fe]24([n+]5ccccc5-c6[n+]4cccc6)(N=C=S)N=C=S,comp_44,spin-crossover,low-spin
QAHPIY02,c1c[n+](oc1)[Fe]([n+]2ccco2)([n+]3ccco3)([n+]4ccco4)([n+]5ccco5)[n+]6ccco6,comp_45,spin-crossover,mixture
